"","M","N","Phi","Tau","True-ES","mean-es","es-var","rel-var","rel-sd","relbias-es","phi","rho","dcoverage","tcoverage"
"1",4,10,-0.9,0,0,0.00483930324073972,1.05051640063442,0.818918939864638,0.904941401343003,Inf,-0.289948116680517,0.456286728228282,0.521,0.5229
"2",4,10,-0.9,0,0.5,0.55888459079631,1.08297334439416,0.823887890998103,0.907682703921422,0.11776918159262,-0.293341572227467,0.455505384378306,0.5378,0.5476
"3",4,10,-0.9,0,1,1.11994299378615,1.16272709439176,0.830659678599252,0.911405331671508,0.119942993786153,-0.291042266031432,0.460005892739457,0.5877,0.6063
"4",4,10,-0.9,0.2,0,-0.0035366234409205,0.76714647485323,0.745891327674608,0.863650002995778,-Inf,-0.290174099821028,0.575903954832989,0.5398,0.5431
"5",4,10,-0.9,0.2,0.5,0.544859386875122,0.778596630033584,0.725883002273655,0.851987677301529,0.0897187737502432,-0.28938001729494,0.582846713245234,0.5885,0.5987
"6",4,10,-0.9,0.2,1,1.10323686139685,0.837537389181434,0.71706375889371,0.846796173169028,0.103236861396847,-0.289055650002432,0.580142568588955,0.6692,0.7051
"7",4,10,-0.9,0.4,0,-0.00446480025502338,0.561234419978959,0.668329215707606,0.817514046183676,-Inf,-0.292336966454175,0.678258293603582,0.5747,0.5807
"8",4,10,-0.9,0.4,0.5,0.538582666061863,0.595142241460916,0.627519910576702,0.79216154323263,0.0771653321237264,-0.291049521139837,0.676932291830758,0.6356,0.6672
"9",4,10,-0.9,0.4,1,1.10045691508636,0.647855803008599,0.596841306039132,0.772555050490987,0.100456915086361,-0.290139429826469,0.682247160746088,0.7406,0.8177
"10",4,10,-0.9,0.6,0,1.93487910857683e-06,0.40712196364177,0.583187870632041,0.763667382197277,Inf,-0.29024381333363,0.773813181527529,0.6055,0.6112
"11",4,10,-0.9,0.6,0.5,0.548963804293663,0.42740345164134,0.516971545225346,0.719007333220841,0.0979276085873269,-0.289781222637307,0.771027617705048,0.6953,0.7631
"12",4,10,-0.9,0.6,1,1.11251695183425,0.504497693129928,0.481476755081345,0.693885260746577,0.112516951834246,-0.290612947244198,0.774835630190024,0.8008,0.9044
"13",4,10,-0.9,0.8,0,0.00444603297871435,0.228102021329407,0.489589728204523,0.699706887349641,Inf,-0.291177027452759,0.86605993165621,0.6723,0.6816
"14",4,10,-0.9,0.8,0.5,0.595046020582725,0.280095831468906,0.41828345100241,0.64674836760707,0.190092041165449,-0.291526724976073,0.866601931392773,0.7846,0.8859
"15",4,10,-0.9,0.8,1,1.17635689299547,0.410113199588119,0.388866081648295,0.623591277719866,0.176356892995474,-0.291061117187098,0.867924558188339,0.8777,0.9508
"16",4,10,-0.7,0,0,0.00144379413446771,0.488308674016475,0.925985913738272,0.962281618726177,Inf,-0.206883921886172,0.109586462819265,0.7214,0.7218
"17",4,10,-0.7,0,0.5,0.533590196897363,0.50405105371333,0.928091736407364,0.963375179464036,0.0671803937947257,-0.209049982441481,0.108458186743875,0.7201,0.7224
"18",4,10,-0.7,0,1,1.06304392441357,0.525689676970105,0.932499472276406,0.96566012254644,0.0630439244135677,-0.208130176072778,0.108393407351453,0.7354,0.7392
"19",4,10,-0.7,0.2,0,0.00370236398189371,0.379861014748865,0.910522384012058,0.954212965753483,Inf,-0.207748837215786,0.209872052573762,0.757,0.7577
"20",4,10,-0.7,0.2,0.5,0.521992029564723,0.389107359348462,0.910113802974662,0.95399884851852,0.0439840591294467,-0.207813685453004,0.211565751354788,0.7609,0.7607
"21",4,10,-0.7,0.2,1,1.05059412493564,0.420945307974046,0.912615877569874,0.955309309893855,0.0505941249356443,-0.206202763091588,0.209396951675658,0.7749,0.7801
"22",4,10,-0.7,0.4,0,0.0135373156104971,0.303916699685389,0.867372301895786,0.9313282460528,Inf,-0.209040218916105,0.349582697918601,0.7765,0.7777
"23",4,10,-0.7,0.4,0.5,0.532197522934597,0.314389824073542,0.865422463204625,0.930280851788655,0.0643950458691938,-0.207801020440097,0.352931729078195,0.783,0.7891
"24",4,10,-0.7,0.4,1,1.06749904330562,0.348660668720229,0.864924857836972,0.930013364332455,0.0674990433056197,-0.210442608735914,0.354644236519728,0.8134,0.8237
"25",4,10,-0.7,0.6,0,-0.00398094787773101,0.21386215796274,0.781544310195419,0.884049947794478,-Inf,-0.207581225320433,0.518084809792766,0.8208,0.8226
"26",4,10,-0.7,0.6,0.5,0.546068405067726,0.232597401737784,0.773264736472894,0.879354727327314,0.092136810135452,-0.205648397794902,0.520196196128728,0.8295,0.8429
"27",4,10,-0.7,0.6,1,1.09678678216729,0.297063934126254,0.770052141744267,0.877526148752427,0.0967867821672939,-0.206643406216992,0.515714271835333,0.8601,0.8812
"28",4,10,-0.7,0.8,0,-0.00792103759840678,0.124525150662189,0.640609682378351,0.800380960779522,-Inf,-0.207460248334684,0.708323995157623,0.8568,0.8596
"29",4,10,-0.7,0.8,0.5,0.590145476650832,0.166043958872771,0.628445910044571,0.792745804179733,0.180290953301664,-0.207226809700103,0.706933867767591,0.8869,0.9075
"30",4,10,-0.7,0.8,1,1.17173699342725,0.2809628207764,0.617324715508174,0.785700143507798,0.171736993427246,-0.211525231783423,0.703153712806795,0.9256,0.9261
"31",4,10,-0.5,0,0,0.00149143312380484,0.285828051369665,0.932317877441662,0.96556609170044,Inf,-0.102267906823669,0.0198305258581819,0.8119,0.8124
"32",4,10,-0.5,0,0.5,0.526033720508533,0.303941179258085,0.933563320176997,0.966210805247487,0.0520674410170667,-0.103757346396612,0.018828147819749,0.8091,0.8061
